Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico,New Zealand,Hong Kong
2016,3,165.7466614,169.5575409,86.0758667,420.9589233,218.5152588,118.5033035,244.7318779,143.9114065,253.6858673,190.5818329,105.3724165,92.20085907,214.0139548,104.2764511,141.7869836,112.4348088,98.40013353,183.2597046,117.0629959,164.2673098,479.3259888,130.4901581,323.1558533,155.2279389,93.97053029,40.63599396,39.59816,144.6885993
2016,4,143.8519244,147.7781268,87.01937866,473.5259094,156.8335724,130.898819,235.2130146,156.9942617,216.3302917,124.1681824,119.4004716,47.38800812,137.2611035,108.3381577,132.8747491,100.9960258,63.91572613,135.0334625,113.3227615,145.6620989,434.6092224,96.413414,286.1773376,165.2380053,104.6926516,29.30071068,69.5465,152.8908232
2016,5,131.861161,130.2406443,154.5420532,221.3032837,151.5238647,143.1926575,192.126863,100.2595322,241.1156769,131.4611969,139.7266929,53.01306915,216.3382197,81.41446686,158.9498446,103.9214401,61.33546182,73.06627655,111.1863403,138.567206,428.5093079,96.22233582,260.2574768,117.5464314,111.2174803,24.3583374,41.64657,145.8624987
2016,6,242.0740449,235.436975,206.1476593,294.4795227,276.6689148,197.354187,243.8112321,196.0521318,444.34198,454.0054321,111.1672404,144.266098,218.8261464,197.1590576,206.3077525,274.8091195,99.89201228,249.3216705,138.7593689,234.9613081,799.9341431,233.9561157,357.2088013,131.4570154,136.1197603,52.31668472,104.3785,190.4550753
2016,7,234.3985486,226.5663061,328.6758423,326.6337891,260.1251221,178.9999695,319.0888825,109.0308024,410.0074158,331.6681824,139.1129929,78.06611633,227.6166986,129.4478149,209.0847203,214.1075253,79.83639796,97.64324951,117.9514236,244.337754,1141.795532,164.4583893,558.222168,112.3994755,112.2347552,34.59252167,129.5879,178.0639173
2016,8,143.1063739,146.4509011,62.00627899,251.6847382,237.5810242,97.73861694,203.7957919,126.5731406,178.7202911,223.1273499,98.17246834,41.01421738,235.6962708,102.5293655,112.0456474,101.3116407,91.87082776,313.0686951,110.9926224,137.6900042,458.6845398,106.8856277,288.7802124,116.325771,91.21630737,27.21035576,40.49355,146.7266902
2016,9,148.444518,153.9897554,88.08694458,250.0245514,164.4557648,91.47058868,268.3345867,68.56514974,291.6730042,219.0773926,104.6362927,32.88368607,185.9314939,140.2138214,114.6051982,123.5489835,103.0343909,237.5003815,107.3256149,158.1333764,378.9745178,86.34352875,388.7496033,147.5645526,103.7796425,47.6553154,58.64761,131.8892282
2016,10,133.5354504,131.2916967,49.8354454,149.3662415,243.5809174,91.06073761,185.6984266,191.2800697,256.6236267,148.2605286,99.54699016,38.68679428,111.3834586,132.1904755,91.82844639,122.1712473,52.9814232,113.413559,107.8156662,130.1831247,545.1150513,108.0641251,261.8988953,106.809263,100.4713782,47.58549881,58.29635,92.47841261
2016,11,249.4820231,240.8612005,174.2979889,365.7530823,442.3714294,209.7425079,296.7413105,171.7810782,448.5950928,322.2203369,117.12648,72.8056488,263.5792271,180.2757416,139.6573786,387.9708219,80.0425563,233.3431244,108.3741226,247.8061434,816.2022095,254.1013184,475.670929,133.0970927,126.0715626,89.25954437,132.9533,196.4092099
2016,12,221.0678455,231.0615612,166.6795807,422.5247803,298.574646,161.1177216,369.9913125,162.2274037,408.2675476,246.81427,155.9398127,117.8862381,262.973405,159.4526367,141.3002404,375.9069745,91.34904225,323.782074,115.9175034,244.4187051,468.0212402,161.4247742,646.9110107,130.5673617,88.91453478,108.7740479,107.9882,252.0059984
2017,1,264.1056026,274.6170893,138.908905,330.9284668,338.1554565,158.4824524,507.7627222,195.2813658,462.9656067,335.64151,134.5876788,84.1265564,162.5416035,112.9060287,145.3115779,391.7983996,91.484632,400.0167542,108.230751,290.9126251,539.2246094,195.0406342,694.8494263,306.037496,134.3558552,161.4682312,122.3992,293.3580464
2017,2,200.6961649,207.1945355,77.74121857,371.6051331,257.4891357,145.8275146,320.6853093,144.4361852,379.4259644,170.4004364,136.8783645,137.4004364,81.92886493,114.1003418,126.4071588,299.674847,78.25325432,227.8781281,106.8926239,211.2582231,445.9740601,177.77771,464.5228271,176.3995805,131.4163628,99.24703979,93.53439,425.3622344
2017,3,233.891707,245.0102283,90.88209534,676.9550171,262.149353,129.2441406,465.7028417,130.6437164,521.5641479,222.1230164,147.3978718,65.67519379,148.2005309,98.55571747,124.7008702,220.4021625,104.7748489,291.4149475,100.336525,246.5270957,418.6566162,154.6096802,533.3043823,349.0531329,90.07738094,69.89385223,64.87721,110.1268575
